date,open,high,low,close,volume
2023-03-03,145.79,148.81,145.09,148.74,70732300
2023-03-06,151.45,153.93,151.13,151.49,87558000
2023-03-07,151.37,151.69,148.83,149.3,56182000
2023-03-08,150.49,151.14,149.52,150.55,47204800
2023-03-09,151.23,152.19,147.95,148.3,53833600
2023-03-10,147.93,148.65,145.37,146.24,68572400
2023-03-13,145.57,150.81,145.46,148.18,84457100
2023-03-14,148.98,151.07,147.82,150.27,73695900
2023-03-15,148.89,150.92,147.64,150.67,77167900
2023-03-16,149.85,154.08,149.34,153.48,76161100
2023-03-17,153.71,154.36,151.94,152.65,98944600
2023-03-20,152.71,155.42,151.81,155.01,73641400
2023-03-21,154.93,156.98,154.16,156.86,73938300
2023-03-22,156.88,159.68,155.41,155.43,75701800
2023-03-23,156.42,159.1,155.29,156.52,67622100
2023-03-24,156.45,157.9,155.45,157.82,59196500
2023-03-27,157.51,158.33,155.47,155.88,52390300
2023-03-28,155.57,156.08,153.61,155.26,45992200
2023-03-29,156.95,158.6,156.93,158.33,51305700
2023-03-30,159.08,160.0,158.82,159.89,49501700
2023-03-31,159.97,162.49,159.45,162.4,68749800
2023-04-03,161.78,163.76,161.73,163.65,56976200
2023-04-04,164.07,164.31,162.6,163.11,46278300
2023-04-05,162.24,162.54,159.34,161.27,51511700
2023-04-06,159.96,162.45,159.54,162.16,45390100
2023-04-10,158.97,159.57,157.65,159.57,47716900
2023-04-11,159.88,159.89,158.07,158.36,47644200
2023-04-12,158.77,159.6,157.35,157.67,50133100
2023-04-13,159.18,163.28,158.97,163.05,68445600
2023-04-14,162.09,163.79,161.33,162.7,49386500
2023-04-17,162.58,162.88,161.54,162.72,41516200
2023-04-18,163.58,164.87,163.13,163.94,49923000
2023-04-19,163.28,165.61,163.03,165.08,47720200
2023-04-20,163.57,165.32,163.05,164.12,52456400
2023-04-21,162.54,163.92,161.99,162.51,58337300
2023-04-24,162.49,163.08,161.4,162.82,41949600
2023-04-25,162.68,163.78,161.24,161.28,48714100
2023-04-26,160.58,162.77,160.33,161.27,45498800
2023-04-27,162.68,166.0,162.68,165.85,64902300
2023-04-28,165.93,167.27,165.33,167.1,55275900
2023-05-01,166.71,167.86,166.08,167.01,52472900
2023-05-02,167.51,167.76,165.0,165.98,48425700
2023-05-03,166.93,168.32,164.62,164.91,65136000
2023-05-04,162.39,164.5,161.81,163.27,81235400
2023-05-05,168.38,171.65,168.17,170.93,113453200
2023-05-08,169.86,171.21,169.5,170.86,55962800
2023-05-09,170.42,170.9,168.99,169.16,45326900
2023-05-10,170.39,171.39,169.29,170.92,53724500
2023-05-11,171.21,171.94,169.56,171.11,49514700
2023-05-12,171.22,171.65,168.64,170.18,45533100
2023-05-15,170.77,170.82,169.1,169.69,37266700
2023-05-16,169.61,170.75,169.42,169.69,42110300
